Position Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status
1138,0,4.839498714911853,2026-03-02 20:20:00,68969.0,133.51015474746237,2026-03-02 22:40:00,69353.0,134.2535017501127,1590.6038500285445,0.004765491742667018,Long,Closed
1139,0,4.85231542920283,2026-03-03 00:55:00,69114.5,134.1461418926483,2026-03-03 01:55:00,68756.5,133.45129032319375,-2004.7263558704565,-0.005977738390641599,Long,Closed
1140,0,4.8981960966481966,2026-03-03 07:10:00,68058.0,133.34457197826123,2026-03-03 13:15:00,67102.0,131.4715017909149,-4947.491542164815,-0.014841223662170356,Long,Closed
1141,0,4.89599374775603,2026-03-03 14:35:00,67078.5,131.3663666435168,2026-03-03 14:45:00,66540.0,130.3117695902745,-2898.170769400398,-0.008824696437755642,Long,Closed
1142,0,4.804884381626455,2026-03-03 15:45:00,67747.5,130.20756185770733,2026-03-03 17:15:00,67962.0,130.61982093763888,769.8203170635306,0.0023649020259049846,Long,Closed
1143,0,4.780012264049707,2026-03-03 18:00:00,68261.0,130.51536686252803,2026-03-03 19:55:00,68448.0,130.87291177986972,632.4740147348881,0.001938389417090229,Long,Closed
1144,0,4.789063610139772,2026-03-03 22:15:00,68264.0,130.76825531304348,2026-03-04 00:05:00,68283.5,130.80561000919167,-168.18712492451502,-0.0005144585726005423,Long,Closed
1145,0,4.767569374065027,2026-03-04 01:30:00,68536.5,130.7010073622223,2026-03-04 02:30:00,68085.5,129.84093784716177,-2410.7157329127144,-0.007377803068437932,Long,Closed
1146,0,4.776630534791727,2026-03-04 05:05:00,67902.0,129.73710662935628,2026-03-04 10:50:00,71294.5,136.21899426508352,15938.76298838649,0.04914172483873821,Long,Closed
1147,0,4.753774191195885,2026-03-04 13:05:00,71580.0,136.110062642314,2026-03-04 18:00:00,73289.5,139.36069343426033,7851.1062237727965,0.023072816429170195,Long,Closed
1148,0,4.74085187548443,2026-03-04 18:45:00,73430.5,139.24924945709063,2026-03-04 20:20:00,73387.5,139.16770680484544,-482.27358690780306,-0.0013853534975249375,Long,Closed
1149,0,4.733287624760416,2026-03-04 22:05:00,73446.0,139.05641715525417,2026-03-04 22:45:00,72813.0,137.85794872867208,-3273.0854323572225,-0.009415129482885231,Long,Closed
